Block,Light (u mol photons m/s/),NH4Cl (mg/L),Time (hours),Replicate,Pseudo-replicate,F,Fm,Y(II),Average Y (controls),StDev (controls),StDev / Average (%),Photosynthetic inhibition (%),Average photosynthetic inhibition (%)
2,80,0.0267,0.3,1,1,0.01688,0.0345,0.510724638,NA,NA,NA,0.022038664,-0.014037029
2,80,0.0267,0.3,1,2,0.0167,0.03698,0.548404543,NA,NA,NA,-0.050112722,NA
2,80,0.0267,2,1,1,0.0153,0.03266,0.531537048,NA,NA,NA,0.007989153,-0.014814418
2,80,0.0267,2,1,2,0.0165,0.03716,0.555974166,NA,NA,NA,-0.037617989,NA
2,80,0.0267,24,1,1,0.03196,0.0685,0.533430657,NA,NA,NA,-0.125475973,-0.118084958
2,80,0.0267,24,1,2,0.03208,0.06774,0.526424565,NA,NA,NA,-0.110693942,NA
2,80,0.0267,48,1,1,0.0338,0.05178,0.347238316,NA,NA,NA,0.048382841,0.067064253
2,80,0.0267,48,1,2,0.03272,0.0491,0.333604888,NA,NA,NA,0.085745665,NA
2,80,0.0267,72,1,1,0.10518,0.16392,0.358345534,NA,NA,NA,0.187405846,0.193928805
2,80,0.0267,72,1,2,0.11138,0.17204,0.35259242,NA,NA,NA,0.200451765,NA
2,20,Control,0,1,1,0.0105,0.0209,0.497607656,0.488599746,0.012739108,2.61%,-0.018436173,0
2,20,Control,0,1,2,0.0102,0.0196,0.479591837,NA,NA,NA,0.018436173,NA
2,20,Control,0.3,1,1,0.016,0.0355,0.549295775,0.553240263,0.005578348,1.01%,0.007129792,5.55E-17
2,20,Control,0.3,1,2,0.0151,0.0341,0.557184751,NA,NA,NA,-0.007129792,NA
2,20,Control,2,1,1,0.018,0.04148,0.566055931,0.567019193,0.001362259,0.24%,0.001698819,-5.55E-17
2,20,Control,2,1,2,0.0197,0.0456,0.567982456,NA,NA,NA,-0.001698819,NA
2,20,Control,24,1,1,0.03822,0.08872,0.569206492,0.566926362,0.003224591,0.57%,-0.004021916,5.55E-17
2,20,Control,24,1,2,0.03778,0.08678,0.564646232,NA,NA,NA,0.004021916,NA
2,20,Control,48,1,1,0.0386,0.0644,0.400621118,0.39278215,0.011085975,2.82%,-0.019957547,0
