Block,Light (u mol photons m/s/),Diuron (ug/L),Time (hours),Replicate,Pseudo-replicate,F,Fm,Y(II),Average Y (controls),Photosynthetic inhibition (%),Average photosynthetic inhibition (%)
2,20,3,24,1,2,0.052,0.0793,0.344262295,NA,0.37,NA
2,20,3,48,1,1,0.06294,0.08756,0.28117862,NA,0.3,0.29
2,20,3,48,1,2,0.06264,0.08766,0.285420945,NA,0.29,NA
2,20,3,72,1,1,0.07748,0.10942,0.29190276,NA,0.26,0.25
2,20,3,72,1,2,0.0767,0.10952,0.299671293,NA,0.24,NA
2,20,1,0,1,1,0.0092,0.01782,0.48372615,NA,0.02,-0.03
2,20,1,0,1,2,0.0097,0.0207,0.531400966,NA,-0.08,NA
2,20,1,0.3,1,1,0.0145,0.0267,0.456928839,NA,0.16,0.15
2,20,1,0.3,1,2,0.015,0.02824,0.468838527,NA,0.14,NA
2,20,1,2,1,1,0.0233,0.0454,0.486784141,NA,0.19,0.19
2,20,1,2,1,2,0.0246,0.04782,0.485570891,NA,0.19,NA
2,20,1,24,1,1,0.0455,0.08578,0.469573327,NA,0.15,0.14
2,20,1,24,1,2,0.0507,0.09618,0.472863381,NA,0.14,NA
2,20,1,48,1,1,0.0503,0.0748,0.327540107,NA,0.18,0.18
2,20,1,48,1,2,0.0537,0.08038,0.331923364,NA,0.17,NA
2,20,1,72,1,1,0.06638,0.10216,0.350234926,NA,0.12,0.11
2,20,1,72,1,2,0.0757,0.11824,0.359776725,NA,0.09,NA
2,20,0.33,0,1,1,0.0109,0.0213,0.488262911,NA,0.01,0.01
