,hours,Light,Diuron,Replicate,Absorbance
391,24,5,0.33,Rep 1,0.0562
392,24,5,0.33,Rep 2,0.0557
393,24,5,0.33,AVERAGE,0.05595
394,24,5,0.11,Rep 1,0.0572
395,24,5,0.11,Rep 2,0.0591
396,24,5,0.11,AVERAGE,0.05815
397,24,Blank,Blank,Rep 1,0.043
398,24,Blank,Blank,Rep 2,0.0417
399,24,Blank,Blank,AVERAGE,0.04235
400,48,80,AlgaeControl,Rep 1,0.0741
401,48,80,AlgaeControl,Rep 2,0.0806
402,48,80,AlgaeControl,AVERAGE,0.07735
403,48,80,MeOHControl,Rep 1,0.0859
404,48,80,MeOHControl,Rep 2,0.0937
405,48,80,MeOH,AVERAGE,0.0898
406,48,80,3,Rep 1,0.0834
407,48,80,3,Rep 2,0.0769
408,48,80,3,AVERAGE,0.08015
409,48,80,1,Rep 1,0.0756
410,48,80,1,Rep 2,0.0786
411,48,80,1,AVERAGE,0.0771
412,48,80,0.33,Rep 1,0.0733
413,48,80,0.33,Rep 2,0.0646
414,48,80,0.33,AVERAGE,0.06895
415,48,80,0.11,Rep 1,0.062
416,48,80,0.11,Rep 2,0.0615
417,48,80,0.11,AVERAGE,0.06175
418,48,20,AlgaeControl,Rep 1,0.0781
419,48,20,AlgaeControl,Rep 2,0.0801
420,48,20,AlgaeControl,AVERAGE,0.0791
421,48,20,MeOHControl,Rep 1,0.0696
422,48,20,MeOHControl,Rep 2,0.0807
423,48,20,MeOH,AVERAGE,0.07515
424,48,20,3,Rep 1,0.0843
425,48,20,3,Rep 2,0.0849
426,48,20,3,AVERAGE,0.0846
427,48,20,1,Rep 1,0.0735
428,48,20,1,Rep 2,0.0786
429,48,20,1,AVERAGE,0.07605
430,48,20,0.33,Rep 1,0.0707
431,48,20,0.33,Rep 2,0.0773
432,48,20,0.33,AVERAGE,0.074
433,48,20,0.11,Rep 1,0.0663
434,48,20,0.11,Rep 2,0.067
435,48,20,0.11,AVERAGE,0.06665
436,48,5,AlgaeControl,Rep 1,0.0576
437,48,5,AlgaeControl,Rep 2,0.0555
438,48,5,AlgaeControl,AVERAGE,0.05655
439,48,5,MeOHControl,Rep 1,0.0739
440,48,5,MeOHControl,Rep 2,0.069
441,48,5,MeOH,AVERAGE,0.07145
